"Suscriptor","Lect_Actual","Causa_des","Observacion_des","Fecha_de_ejecucion"
"20260","1093","","30","2024-05-29 11:35:51"
"21300","3823","","","2024-05-29 11:36:24"
"21305","5","","","2024-05-29 11:37:00"
"21290","404","","","2024-05-29 11:39:38"
"20290","365","","","2024-05-29 11:40:13"
"20300","436","","RESIDENTE OCASIONAL-16","2024-05-29 11:40:47"
"21260","1251","","","2024-05-29 11:38:20"
"21100","108","","","2024-05-29 11:42:35"
"21230","3100","","","2024-05-29 11:43:43"
"21200","4661","","","2024-05-29 11:44:46"
"21160","1975","","","2024-05-29 11:45:50"
"21138","41","","","2024-05-29 11:46:32"
"21140","634","","","2024-05-29 11:46:49"
"21130","1068","","","2024-05-29 11:51:21"
"20330","1033","","","2024-05-29 11:54:18"
"21060","4977","","","2024-05-29 11:55:08"
"21030","2666","","30","2024-05-29 11:56:13"
"21029","313","","","2024-05-29 11:56:38"
"20380","1337","","","2024-05-29 11:57:27"
"20400","1199","","","2024-05-29 11:58:12"
"20430","163","","","2024-05-29 11:58:58"
"21018","","","DESCONECTADO-32","2024-05-29 11:59:32"
"21015","115","","OTRA FUENTE-15","2024-05-29 12:01:01"
"20460","2158","","","2024-05-29 12:01:25"
"20500","448","","","2024-05-29 12:02:26"
"21000","996","","","2024-05-29 12:03:02"
"20996","617","","","2024-05-29 12:03:44"
"20530","2275","","","2024-05-29 12:04:56"
"20950","502","","","2024-05-29 12:05:16"
"20935","830","","","2024-05-29 12:05:33"
"20560","1340","","","2024-05-29 12:05:58"
"20600","1387","","","2024-05-29 12:06:51"
"20930","2531","","","2024-05-29 12:07:43"
"20630","2446","","RESIDENTE OCASIONAL-16","2024-05-29 12:08:51"
"20900","3836","","MEDIDOR PARADO (DAÑO INTERNO)-33","2024-05-29 12:10:18"
"20860","824","","","2024-05-29 12:11:39"
"20863","3044","","","2024-05-29 12:12:03"
"20660","342","","","2024-05-29 12:13:00"
"20856","856","","","2024-05-29 12:13:43"
"20858","49","","","2024-05-29 12:14:02"
"20840","472","","","2024-05-29 12:15:01"
"20838","116","","","2024-05-29 12:15:43"
"20700","976","","","2024-05-29 12:16:31"
"20830","2413","","","2024-05-29 12:17:45"
"20710","9","","","2024-05-29 12:18:53"
"20720","3375","","","2024-05-29 12:20:29"
"20800","390","","","2024-05-29 12:21:37"
"20730","904","","","2024-05-29 12:22:00"
"20726","569","","","2024-05-29 12:22:17"
"20750","1881","","RESIDENTE OCASIONAL-16","2024-05-29 12:23:12"
"20760","6","","","2024-05-29 12:24:17"
"20773","879","","OTRA FUENTE-15","2024-05-29 12:25:25"
"20925","1522","","","2024-05-29 12:35:34"
"20920","485","","RESIDENTE OCASIONAL-16","2024-05-29 12:37:13"
"20918","781","","","2024-05-29 12:37:41"
"20914","67","","RESIDENTE OCASIONAL-16","2024-05-29 12:38:53"
"20905","18","","RESIDENTE OCASIONAL-16","2024-05-29 12:40:42"
"20902","","","DESCONECTADO-32","2024-05-30 11:10:30"
"20903","2062","","","2024-05-29 12:42:31"
"20904","2062","","","2024-05-29 12:43:22"
"20907","1060","","","2024-05-29 12:44:32"
"20911","5386","","DESCONECTADO-32","2024-05-30 10:29:09"
"20780","765","","","2024-05-29 12:51:09"
"34001","1517","","","2024-05-30 07:25:10"
"33979","633","","","2024-05-30 07:27:03"
"33974","1534","","","2024-05-30 07:28:17"
"33928","70","","SUSPENDIDO DESOCUPADO-31","2024-05-30 07:29:41"
"33970","1242","","","2024-05-30 07:30:13"
"33968","191","","30","2024-05-30 07:30:47"
"33830","209","","","2024-05-30 07:33:02"
"33930","315","","","2024-05-30 07:34:06"
"33929","908","","","2024-05-30 07:34:56"
"33915","807","","","2024-05-30 07:35:31"
"33920","31","","30","2024-05-30 07:36:10"
"33922","723","","","2024-05-30 07:36:27"
"33933","23","","RESIDENTE OCASIONAL-16","2024-05-30 07:37:15"
"33960","2309","","","2024-05-30 07:38:15"
"33865","1645","","","2024-05-30 07:38:41"
"33910","3227","","","2024-05-30 07:39:18"
"33900","141","","","2024-05-30 07:39:58"
"33836","4","","","2024-05-30 07:40:41"
"33880","171","","","2024-05-30 07:41:26"
"33860","3952","","","2024-05-30 07:47:07"
"33863","835","","","2024-05-30 07:47:56"
"33870","1356","","","2024-05-30 07:48:26"
"33825","52","","","2024-05-30 07:51:27"
"33820","1683","","","2024-05-30 07:53:42"
"33818","4835","","","2024-05-30 07:54:15"
"33815","601","","","2024-05-30 07:54:47"
"33845","1052","","","2024-05-30 07:55:24"
"33840","2774","","","2024-05-30 07:57:08"
"33890","275","","","2024-05-30 07:57:49"
"31680","10","","RESIDENTE OCASIONAL-16","2024-05-30 08:04:27"
"31600","3856","","","2024-05-30 08:05:32"
"31670","513","","","2024-05-30 08:05:58"
"33550","820","","","2024-05-30 08:08:02"
"31700","4694","","","2024-05-30 08:09:13"
"31703","67","","","2024-05-30 08:09:33"
"31750","302","","30","2024-05-30 08:10:27"
"31760","3113","","","2024-05-30 08:10:56"
"31770","2212","","","2024-05-30 08:12:51"
"31790","852","","","2024-05-30 08:14:16"
"33440","759","","","2024-05-30 08:15:25"
"33810","810","","","2024-05-30 08:16:12"
"31850","1214","","","2024-05-30 08:17:12"
"31860","466","","","2024-05-30 08:18:20"
"32002","","","30","2024-05-30 08:22:51"
"31992","18","","","2024-05-30 08:23:25"
"32000","2872","","","2024-05-30 08:24:05"
"31990","2021","","","2024-05-30 08:24:33"
"31993","1684","","","2024-05-30 08:24:44"
"33980","1860","","","2024-05-30 08:25:25"
"32020","631","","","2024-05-30 08:26:47"
"32030","608","","","2024-05-30 08:27:47"
"32033","14","","30","2024-05-30 08:29:58"
"32250","2708","","","2024-05-30 08:30:40"
"32253","1858","","","2024-05-30 08:31:01"
"32040","2137","","","2024-05-30 08:31:55"
"32070","1793","","","2024-05-30 08:33:05"
"32130","4014","","","2024-05-30 08:33:54"
"33260","61","","","2024-05-30 08:36:51"
"33120","3630","","","2024-05-30 08:38:11"
"31595","2602","","","2024-05-30 08:41:13"
"31590","2445","","","2024-05-30 08:42:17"
"31450","529","","","2024-05-30 08:43:12"
"31440","695","","","2024-05-30 08:43:20"
"30410","1121","","","2024-05-30 08:44:19"
"30261","2547","","","2024-05-30 08:45:02"
"31430","1449","","RESIDENTE OCASIONAL-16","2024-05-30 08:46:07"
"31350","394","","","2024-05-30 08:48:03"
"31340","185","","","2024-05-30 08:50:51"
"31380","1470","","","2024-05-30 08:49:01"
"31330","1006","","","2024-05-30 08:50:30"
"30500","1134","","","2024-05-30 08:51:13"
"31327","848","","","2024-05-30 08:51:39"
"31325","549","","","2024-05-30 08:53:10"
"31320","415","","","2024-05-30 08:53:25"
"31260","802","","","2024-05-30 08:54:14"
"31200","1226","","","2024-05-30 08:54:54"
"31140","307","","","2024-05-30 08:56:19"
"31138","35","","","2024-05-30 08:56:54"
"30871","375","","","2024-05-30 08:58:45"
"30875","976","","30","2024-05-30 09:00:42"
"30760","956","","","2024-05-30 09:01:27"
"30880","477","","","2024-05-30 09:02:12"
"30878","1063","","","2024-05-30 09:02:46"
"30890","2064","","","2024-05-30 09:03:33"
"30920","1564","","","2024-05-30 09:04:32"
"31000","3173","","RESIDENTE OCASIONAL-16","2024-05-30 09:07:25"
"31010","1178","","","2024-05-30 09:07:43"
"30840","359","","","2024-05-30 09:11:10"
"30780","1170","","","2024-05-30 09:12:13"
"33990","4608","","","2024-05-30 09:12:53"
"34000","2410","","","2024-05-30 09:13:32"
"30750","224","","","2024-05-30 09:14:03"
"30611","1844","","RESIDENTE OCASIONAL-16","2024-05-30 09:15:28"
"30601","4088","","","2024-05-30 09:15:50"
"30757","727","","","2024-05-30 09:16:01"
"43960","2671","","","2024-05-29 07:38:34"
"43962","","","30","2024-05-29 07:39:04"
"43963","33","","","2024-05-29 07:39:13"
"43970","208","","30","2024-05-29 07:40:01"
"43980","1481","","","2024-05-29 07:40:33"
"43990","178","","","2024-05-29 07:40:56"
"44000","746","","","2024-05-29 07:41:29"
"44010","108","","","2024-05-29 07:41:52"
"44020","789","","","2024-05-29 07:42:21"
"44030","103","","","2024-05-29 07:42:41"
"43770","1729","","","2024-05-29 07:43:49"
"43760","488","","","2024-05-29 07:44:03"
"43750","396","","","2024-05-29 07:44:21"
"43740","1906","","","2024-05-29 07:44:48"
"44050","1530","","","2024-05-29 07:45:44"
"44060","2897","","","2024-05-29 07:46:13"
"44061","854","","","2024-05-29 07:46:32"
"44070","2455","","","2024-05-29 07:47:17"
"44080","1824","","","2024-05-29 07:47:42"
"44081","90","","","2024-05-29 07:47:55"
"44082","44","","","2024-05-29 07:48:23"
"44091","150","","","2024-05-29 07:48:57"
"44100","398","","","2024-05-29 07:49:52"
"44110","736","","","2024-05-29 07:50:28"
"44111","467","","","2024-05-29 07:50:19"
"44120","131","","","2024-05-29 07:50:56"
"40040","583","","","2024-05-29 07:57:39"
"40050","6637","","","2024-05-29 07:56:09"
"40060","2451","","","2024-05-29 07:54:26"
"40170","979","","","2024-05-29 08:01:14"
"40180","324","","","2024-05-29 08:01:39"
"43730","1800","","","2024-05-29 08:02:28"
"40205","3771","","","2024-05-29 08:03:12"
"40210","3347","","","2024-05-29 08:04:26"
"43720","2859","","","2024-05-29 08:03:46"
"43711","1210","","","2024-05-29 08:06:04"
"43710","1137","","","2024-05-29 08:05:33"
"43682","627","","","2024-05-29 08:07:32"
"43680","2019","","","2024-05-29 08:08:19"
"40225","2089","","","2024-05-29 08:06:41"
"40220","2051","","","2024-05-29 08:06:48"
"40230","2206","","","2024-05-29 08:08:50"
"40240","460","","","2024-05-29 08:09:14"
"40250","1874","","","2024-05-29 08:09:42"
"40274","878","","","2024-05-29 08:11:08"
"40273","748","","","2024-05-29 08:11:57"
"40270","275","","","2024-05-29 08:13:17"
"43390","617","","","2024-05-29 08:14:41"
"43392","232","","30","2024-05-29 08:16:06"
"43394","182","","","2024-05-29 08:15:37"
"43396","392","","","2024-05-29 08:15:23"
"43400","1391","","","2024-05-29 08:17:03"
"43405","996","","","2024-05-29 08:17:27"
"43410","173","","","2024-05-29 08:17:36"
"43420","729","","","2024-05-29 08:19:41"
"43421","183","","","2024-05-29 08:21:25"
"43430","142","","","2024-05-29 08:22:08"
"43380","1187","","","2024-05-29 08:23:11"
"43370","1881","","","2024-05-29 08:24:00"
"43361","213","","","2024-05-29 08:24:55"
"43360","2123","","","2024-05-29 08:24:39"
"43350","876","","","2024-05-29 08:25:47"
"43340","1243","","","2024-05-29 08:26:32"
"43331","964","","","2024-05-29 08:28:06"
"43330","1007","","","2024-05-29 08:28:53"
"43325","1655","","","2024-05-29 08:29:15"
"43320","718","","","2024-05-29 08:29:37"
"43155","24","","30","2024-05-29 08:41:29"
"43156","","","30","2024-05-29 08:41:51"
"43157","","","30","2024-05-29 08:42:05"
"43160","680","","","2024-05-29 08:42:40"
"43161","701","","","2024-05-29 08:43:08"
"43162","747","","","2024-05-29 08:43:36"
"43163","1825","","","2024-05-29 08:44:04"
"43165","364","","30","2024-05-29 08:44:55"
"43310","148","","","2024-05-29 08:30:38"
"43300","638","","","2024-05-29 08:40:15"
"43291","425","","","2024-05-29 08:51:42"
"43290","3051","","","2024-05-29 08:51:21"
"43280","2849","","","2024-05-29 08:54:05"
"43270","1199","","","2024-05-29 08:55:22"
"43271","1","","30","2024-05-29 08:55:49"
"43272","2","","30","2024-05-29 08:56:13"
"43260","228","","","2024-05-29 08:56:46"
"43209","1720","","","2024-05-29 08:45:45"
"43210","2026","","","2024-05-29 08:45:54"
"43215","360","","30","2024-05-29 08:46:49"
"43230","3427","","30","2024-05-29 08:47:45"
"43240","81","","","2024-05-29 08:48:16"
"43245","110","","","2024-05-29 08:50:02"
"43250","1700","","30","2024-05-29 08:49:36"
"43789","679","","30","2024-05-29 08:58:11"
"43790","2640","","","2024-05-29 08:58:43"
"43800","950","","","2024-05-29 08:59:45"
"43810","2047","","","2024-05-29 09:00:40"
"43820","523","","","2024-05-29 09:01:07"
"43950","1353","","","2024-05-29 09:03:12"
"43940","3443","","","2024-05-29 09:04:22"
"43930","3685","","","2024-05-29 09:04:40"
"43920","91","","","2024-05-29 09:05:03"
"43915","1579","","","2024-05-29 09:05:14"
"43910","3380","","30","2024-05-29 09:07:22"
"43890","717","","","2024-05-29 09:07:55"
"43830","2158","","","2024-05-29 09:08:45"
"43870","520","","","2024-05-29 09:09:22"
"44540","746","","","2024-05-29 09:10:41"
"44541","69","","","2024-05-29 09:10:19"
"44530","1946","","","2024-05-29 09:11:17"
"44550","111","","","2024-05-29 09:13:12"
"44580","1227","","","2024-05-29 09:13:58"
"44590","857","","","2024-05-29 09:14:33"
"44520","3502","","","2024-05-29 09:11:56"
"44510","858","","","2024-05-29 09:15:20"
"44502","1009","","","2024-05-29 09:15:45"
"44500","1819","","","2024-05-29 09:16:09"
"44490","1030","","SUSPENDIDO DESOCUPADO-31","2024-05-29 09:17:17"
"44470","","11-MEDIDOR DAÑADO","","2024-05-29 09:19:56"
"44600","2434","","","2024-05-29 09:17:44"
"44620","1189","","","2024-05-29 09:18:10"
"44630","721","","30","2024-05-29 09:18:47"
"44463","67","","30","2024-05-29 09:21:08"
"44460","22","","","2024-05-29 09:21:34"
"44430","1157","","","2024-05-29 09:21:57"
"44427","165","","","2024-05-29 09:22:56"
"44428","46","","","2024-05-29 09:23:39"
"44429","4","","30","2024-05-29 09:23:57"
"44425","812","","","2024-05-29 09:26:04"
"44420","33","","30","2024-05-29 09:27:08"
"50401","294","","","2024-05-29 09:29:02"
"50405","1463","","","2024-05-29 09:29:36"
"50406","639","","","2024-05-29 09:29:17"
"50410","1831","","","2024-05-29 09:30:02"
"50420","1767","","","2024-05-29 09:31:56"
"50430","186","","","2024-05-29 09:32:33"
"50440","1147","","","2024-05-29 09:33:24"
"50450","205","","","2024-05-29 09:33:56"
"50460","449","","","2024-05-29 09:34:02"
"50470","4","","","2024-05-29 09:35:16"
"50474","10","","30","2024-05-29 10:51:44"
"44390","3705","","","2024-05-29 07:24:22"
"44380","488","","","2024-05-29 07:27:45"
"44370","1128","","","2024-05-29 07:28:09"
"44188","806","","","2024-05-29 07:28:59"
"44190","158","","","2024-05-29 07:29:21"
"44210","4550","","","2024-05-29 07:29:53"
"44230","2573","","","2024-05-29 07:30:36"
"44231","70","","","2024-05-29 07:30:45"
"44240","3673","","","2024-05-29 07:31:20"
"44250","5040","","","2024-05-29 07:31:44"
"44260","942","","","2024-05-29 07:32:01"
"44270","1550","","","2024-05-29 07:32:24"
"44280","720","","","2024-05-29 07:33:01"
"44290","90","","","2024-05-29 07:33:27"
"44300","2270","","","2024-05-29 07:34:46"
"44310","184","","","2024-05-29 07:35:12"
"44320","2116","","","2024-05-29 07:35:30"
"44321","129","","","2024-05-29 07:35:41"
"44325","1010","","30","2024-05-29 07:36:25"
"44330","3587","","","2024-05-29 07:36:52"
"50646","118","","","2024-05-29 10:52:46"
"50648","97","","","2024-05-29 10:52:56"
"50650","9","","","2024-05-29 10:53:38"
"50660","3041","","","2024-05-29 10:54:27"
"44180","396","","","2024-05-29 10:55:15"
"44182","30","","","2024-05-29 10:55:44"
"44184","4","","30","2024-05-29 10:58:14"
"44185","12","","","2024-05-29 10:57:10"
"44186","9","","30","2024-05-29 10:57:35"
"44150","4495","","MEDIDOR PARADO (DAÑO INTERNO)-33","2024-05-29 11:00:02"
"44140","117","","","2024-05-29 11:00:49"
"44131","1678","","","2024-05-29 11:02:01"
"44130","471","","","2024-05-29 11:01:50"
"51006","166","","","2024-05-29 11:02:53"
"50700","1630","","30","2024-05-29 11:03:49"
"50710","","04-REJA CON CANDADO O SIMILAR","","2024-05-29 11:05:43"
"50730","153","","","2024-05-29 11:06:24"
"50750","162","","","2024-05-29 11:07:04"
"50760","893","","30","2024-05-29 11:07:57"
"53831","236","","","2024-05-29 11:09:46"
"53833","1243","","","2024-05-29 11:10:46"
"53834","1199","","30","2024-05-29 11:12:06"
"53836","77","","","2024-05-29 11:12:42"
"53837","167","","","2024-05-29 11:13:08"
"53846","","","30","2024-05-29 11:13:56"
"53839","2627","","","2024-05-29 11:14:14"
"53841","399","","","2024-05-29 11:15:51"
"53844","1324","","","2024-05-29 11:16:25"
"53847","6","","30","2024-05-29 11:17:01"
"53829","623","","","2024-05-29 11:18:00"
"53830","133","","","2024-05-29 11:18:24"
"50790","1102","","","2024-05-29 11:19:09"
"50795","2132","","","2024-05-29 11:20:44"
"50800","2290","","","2024-05-29 11:21:33"
"50809","1287","","","2024-05-29 11:22:46"
"50810","2193","","","2024-05-29 11:23:30"
"50820","304","","","2024-05-29 11:24:15"
"51262","255","","","2024-05-29 11:24:51"
"51230","171","","","2024-05-29 11:25:41"
"51220","609","","","2024-05-29 11:30:13"
"50859","7","","","2024-05-29 11:27:47"
"50860","2507","","","2024-05-29 11:28:35"
"50870","445","","30","2024-05-29 11:29:07"
"50881","546","","30","2024-05-29 11:32:27"
"50590","954","","","2024-05-29 11:33:16"
"50600","3122","","","2024-05-29 11:34:05"
"50570","904","","","2024-05-29 11:35:15"
"50560","2033","","","2024-05-29 11:35:57"
"50550","93","","30","2024-05-29 11:36:56"
"50540","2","","30","2024-05-29 11:37:27"
"50530","2111","","","2024-05-29 11:37:54"
"50520","1905","","","2024-05-29 11:38:11"
"50640","75","","","2024-05-29 11:38:58"
"50630","5479","","","2024-05-29 11:40:09"
"50620","237","","","2024-05-29 11:40:34"
"50610","1942","","","2024-05-29 11:41:27"
"50609","420","","","2024-05-29 11:41:16"
"50890","1092","","","2024-05-29 11:42:38"
"50900","65","","30","2024-05-29 11:43:20"
"50902","1227","","DESCONECTADO-32","2024-05-29 11:44:05"
"50930","332","","","2024-05-29 11:45:22"
"50950","1620","","","2024-05-29 11:50:28"
"50960","1907","","","2024-05-29 11:50:39"
"51120","282","","30","2024-05-29 11:52:08"
"51095","67","","","2024-05-29 11:52:42"
"51090","1318","","","2024-05-29 11:53:38"
"51088","94","","","2024-05-29 11:54:20"
"51087","758","","","2024-05-29 11:55:01"
"51085","1640","","","2024-05-29 11:55:31"
"51084","2135","","","2024-05-29 11:56:21"
"51083","1028","","","2024-05-29 11:56:46"
"51082","175","","30","2024-05-29 11:57:12"
"51081","","04-REJA CON CANDADO O SIMILAR","","2024-05-29 11:57:53"
"51030","504","","30","2024-05-29 11:58:39"
"51020","4457","","","2024-05-29 12:01:05"
"51010","284","","","2024-05-29 12:01:57"
"50990","679","","","2024-05-29 12:02:31"
"50980","966","","","2024-05-29 12:03:02"
"50330","972","","","2024-05-29 12:04:02"
"50320","1238","","30","2024-05-29 12:04:51"
"50310","261","","","2024-05-29 12:05:34"
"50300","2527","","","2024-05-29 12:06:24"
"50294","2583","","","2024-05-29 12:06:33"
"50290","213","","","2024-05-29 12:07:06"
"50285","2927","","","2024-05-29 12:07:25"
"50280","405","","","2024-05-29 12:07:35"
"50350","1965","","","2024-05-29 12:08:27"
"50360","3248","","","2024-05-29 12:09:07"
"50365","703","","","2024-05-29 12:11:32"
"50270","2605","","","2024-05-29 12:09:39"
"50260","1764","","","2024-05-29 12:10:08"
"50250","1179","","","2024-05-29 12:10:42"
"50240","991","","","2024-05-29 12:11:03"
"50385","67","","","2024-05-29 12:12:08"
"50380","1153","","","2024-05-29 12:12:33"
"50388","589","","","2024-05-29 12:12:56"
"50390","176","","","2024-05-29 12:13:17"
"50400","673","","30","2024-05-29 12:13:54"
"50213","97","","SUSPENDIDO DESOCUPADO-31","2024-05-29 12:14:36"
"50210","449","","SUSPENDIDO DESOCUPADO-31","2024-05-29 12:15:46"
"50208","397","","SUSPENDIDO DESOCUPADO-31","2024-05-29 12:16:25"
"44640","681","","","2024-05-29 12:18:41"
"44650","303","","","2024-05-29 12:19:20"
"44660","126","","","2024-05-29 12:19:43"
"44670","512","","","2024-05-29 12:20:14"
"44680","1225","","","2024-05-29 12:20:37"
"44681","1280","","","2024-05-29 12:20:59"
"50205","1494","","","2024-05-29 12:22:22"
"50200","1271","","","2024-05-29 12:22:42"
"50190","490","","","2024-05-29 12:23:05"
"44690","4847","","30","2024-05-29 12:24:31"
"50185","3046","","","2024-05-29 12:25:12"
"50180","1995","","","2024-05-29 12:25:51"
"50170","2988","","","2024-05-29 12:27:08"
"50169","1119","","","2024-05-29 12:27:24"
"50168","1301","","","2024-05-29 12:27:37"
"50164","1130","","","2024-05-29 12:28:13"
"50160","2452","","","2024-05-29 12:28:42"
